,Date,Place,Title,Rating,Content
0,1 August 2023,United Kingdom,Second time buying these headphones as overall value for money,4,"I lost my first pair so I replaced them with the same because I really like the fit and sound quality. The case is cool with magnets to lock the earphones in place and it's easy to hold and find in my bag. I also love the pause/start touch on the surface of the headphones so you don't have to remove them to listen to something/someone.The only reason I've not rated the earphones 5 stars is that there's an occasional blip like the sound is not working in one earphone, but it corrects itself quickly and is not too annoying."
1,20 July 2023,United Kingdom,One Annoying Issue,4,"You get decent sound quality and comfort / functionality etc for the price, but my one main issue is that the charging case doesn't keep it's charge very well, and when it runs out of charge the buds will automatically start pairing with your devices. This means that every now and again I'll play something on my phone and the sound isn't working for some reason... Until I figure out that they're paired to my TOZOs in the other room! Seems like this could have been avoided in the design, but ah well. Just something to be aware of."
2,7 July 2023,United Kingdom,👍👍,4,I have a pair of the T 6’s and a pair of the NC 9. The NC 9’s are by fair the better product and give excellent sound quality. The T6 are good for the money. They both have good battery life.
3,14 August 2023,United Kingdom,Amazing,5,Bought for sisters Xmas gift and they are great
4,4 August 2023,United Kingdom,Really waterproof,5,"I went with them in the rain and it didn’t affect anything. Battery life is long, sound is great. I’m very happy."
5,29 May 2023,United Kingdom,Confused,3,"Audio is good for the price, and it's weird (in a good way) that I can forget I'm wearing them when I'm back from the gym and get in the shower without taking them off cause they're waterproof, but their biggest flaw is how sensitive these are. I got curly hair and sometimes just a curl bouncing on them will active them to press pause, or when adjusting them the volume goes completely down or all the way up. Really really hypersensitive and I didn't even remove the protective plastic film yet. Don't want to imagine how they will be when I do.Also really confused on how to open the charger port on the case? I've tried to slide it open, push it open, pull it open... Nothing happens??? I read the manual but no specifics on this, so I wonder if I won't be able to charge them once they die, or if I'll have to give up and waste money on a bluetooth charger which would be annoying!"
6,4 July 2023,United Kingdom,The best headphones!,5,These headphones are the best value for money! I bought my first pair about 2 years ago and they were still running until last week (when I lost them) and they still worked like new! I once dropped a headphone in freshly brewed coffee- it worked PERFECTLY fine after that!Easy to connect to phoneEar pieces don’t hurt your ear!I just bought my second pair- happily!
7,1 June 2023,United Kingdom,Pretty Good,4,"The sound quality isn't the best and there are other earbuds that offer better quality for the same price range, but they sit well and get the job done. I also like the colour selection and they're simple to set up and use."
8,7 July 2023,United Kingdom,Brilliant piece of kit!,5,"This is a brilliant piece of kit for the price. It is very comfortable to wear even for a long time. Being waterproof, it is very good to use for running and exercise. It has very good battery life. The sound quality is also very good. It is worth it for the price!"
9,29 July 2023,United Kingdom,OK.,5,Fiddly getting them out of the charger.
