,Title,Clean Title,Content,Clean Content,Rating,Sentiment,Target
0,Second time buying these headphones as overall value for money,second time buying headphones overall value money,"I lost my first pair so I replaced them with the same because I really like the fit and sound quality. The case is cool with magnets to lock the earphones in place and it's easy to hold and find in my bag. I also love the pause/start touch on the surface of the headphones so you don't have to remove them to listen to something/someone.The only reason I've not rated the earphones 5 stars is that there's an occasional blip like the sound is not working in one earphone, but it corrects itself quickly and is not too annoying.",lost first pair replaced really like fit sound quality case cool magnets lock earphones place easy hold find bag also love pausestart touch surface headphones remove listen somethingsomeonethe reason rated earphones five stars occasional blip like sound working one earphone corrects quickly annoying,4,Positive,2
1,One Annoying Issue,one annoying issue,"You get decent sound quality and comfort / functionality etc for the price, but my one main issue is that the charging case doesn't keep it's charge very well, and when it runs out of charge the buds will automatically start pairing with your devices. This means that every now and again I'll play something on my phone and the sound isn't working for some reason... Until I figure out that they're paired to my TOZOs in the other room! Seems like this could have been avoided in the design, but ah well. Just something to be aware of.",get decent sound quality comfort functionality etc price one main issue charging case keep charge well runs charge buds automatically start pairing devices means every play something phone sound working reason figure paired tozos room seems like could avoided design ah well something aware,4,Positive,2
2,👍👍,,I have a pair of the T 6’s and a pair of the NC 9. The NC 9’s are by fair the better product and give excellent sound quality. The T6 are good for the money. They both have good battery life.,pair six s pair nc nine nc nine s fair better product give excellent sound quality t6 good money good battery life,4,Positive,2
3,Amazing,amazing,Bought for sisters Xmas gift and they are great,bought sisters xmas gift great,5,Positive,2
4,Really waterproof,really waterproof,"I went with them in the rain and it didn’t affect anything. Battery life is long, sound is great. I’m very happy.",went rain affect anything battery life long sound great happy,5,Positive,2
5,Confused,confused,"Audio is good for the price, and it's weird (in a good way) that I can forget I'm wearing them when I'm back from the gym and get in the shower without taking them off cause they're waterproof, but their biggest flaw is how sensitive these are. I got curly hair and sometimes just a curl bouncing on them will active them to press pause, or when adjusting them the volume goes completely down or all the way up. Really really hypersensitive and I didn't even remove the protective plastic film yet. Don't want to imagine how they will be when I do.Also really confused on how to open the charger port on the case? I've tried to slide it open, push it open, pull it open... Nothing happens??? I read the manual but no specifics on this, so I wonder if I won't be able to charge them once they die, or if I'll have to give up and waste money on a bluetooth charger which would be annoying!",audio good price weird good way forget wearing back gym get shower without taking waterproof biggest flaw sensitive got curly hair sometimes curl bouncing active press pause adjusting volume goes completely way really really hypersensitive even remove protective plastic film yet want imagine doalso really confused open charger port case tried slide open push open pull open nothing happens read manual specifics wonder able charge die give waste money bluetooth charger would annoying,3,Neutral,1
6,The best headphones!,best headphones,These headphones are the best value for money! I bought my first pair about 2 years ago and they were still running until last week (when I lost them) and they still worked like new! I once dropped a headphone in freshly brewed coffee- it worked PERFECTLY fine after that!Easy to connect to phoneEar pieces don’t hurt your ear!I just bought my second pair- happily!,headphones best value money bought first pair two years ago still running last week lost still worked like new dropped headphone freshly brewed coffee worked perfectly fine thateasy connect phoneear pieces hurt eari bought second pair happily,5,Positive,2
7,Pretty Good,pretty good,"The sound quality isn't the best and there are other earbuds that offer better quality for the same price range, but they sit well and get the job done. I also like the colour selection and they're simple to set up and use.",sound quality best earbuds offer better quality price range sit well get job done also like colour selection simple set use,4,Positive,2
8,Brilliant piece of kit!,brilliant piece kit,"This is a brilliant piece of kit for the price. It is very comfortable to wear even for a long time. Being waterproof, it is very good to use for running and exercise. It has very good battery life. The sound quality is also very good. It is worth it for the price!",brilliant piece kit price comfortable wear even long time waterproof good use running exercise good battery life sound quality also good worth price,5,Positive,2
9,OK.,ok,Fiddly getting them out of the charger.,fiddly getting charger,5,Positive,2
10,Another great product from TOZO,another great product tozo,"I have a couple of pairs of TOZO headphones and just like the rest, these really deliver. Great sound, comfortable fit and good battery life. Ideal for the price.",couple pairs tozo headphones like rest really deliver great sound comfortable fit good battery life ideal price,5,Positive,2
11,Tozo earbuds,tozo earbuds,"Great buds and super sound, it's also a bonus with wireless charging too.",great buds super sound also bonus wireless charging,5,Positive,2
12,Wireless headset,wireless headset,Headphones not the best but amazon customer service is great in replacing it,headphones best amazon customer service great replacing,4,Positive,2
13,Best earbuds ever!,best earbuds ever,"I've had these buds for 2 and a half years and they've never ever faltered. I recommend them to everyone who asks! You should definitely purchase these, 10000/10",buds two half years never ever faltered recommend everyone asks definitely purchase one million and ten,5,Positive,2
14,I did buy two of these and I’m on my second one but the second set is holding up well!,buy two second one second set holding well,SO impressed with these earbuds compared to the price of airpods. One little touch and you can pause and unpause your music. Comfortable to wear and easy to clean with a damp cloth,impressed earbuds compared price airpods one little touch pause unpause music comfortable wear easy clean damp cloth,5,Positive,2
