,Title,Clean Title,Title Tokenized,Title Wordnet Pos,Title Lemmatized,Content,Clean Content,Text Tokenized,Text Wordnet Pos,Text Lemmatized,Rating,Sentiment,Target
0,Second time buying these headphones as overall value for money,second time buying headphones overall value money,"['second', 'time', 'buying', 'headphones', 'overall', 'value', 'money']","[('second', 'a'), ('time', 'n'), ('buying', 'v'), ('headphones', 'n'), ('overall', 'a'), ('value', 'n'), ('money', 'n')]","['second', 'time', 'buy', 'headphone', 'overall', 'value', 'money']","I lost my first pair so I replaced them with the same because I really like the fit and sound quality. The case is cool with magnets to lock the earphones in place and it's easy to hold and find in my bag. I also love the pause/start touch on the surface of the headphones so you don't have to remove them to listen to something/someone.The only reason I've not rated the earphones 5 stars is that there's an occasional blip like the sound is not working in one earphone, but it corrects itself quickly and is not too annoying.",lost first pair replaced really like fit sound quality case cool magnets lock earphones place easy hold find bag also love pausestart touch surface headphones remove listen somethingsomeonethe reason rated earphones five stars occasional blip like sound working one earphone corrects quickly annoying,"['lost', 'first', 'pair', 'replaced', 'really', 'like', 'fit', 'sound', 'quality', 'case', 'cool', 'magnets', 'lock', 'earphones', 'place', 'easy', 'hold', 'find', 'bag', 'also', 'love', 'pausestart', 'touch', 'surface', 'headphones', 'remove', 'listen', 'somethingsomeonethe', 'reason', 'rated', 'earphones', 'five', 'stars', 'occasional', 'blip', 'like', 'sound', 'working', 'one', 'earphone', 'corrects', 'quickly', 'annoying']","[('lost', 'v'), ('first', 'a'), ('pair', 'n'), ('replaced', 'v'), ('really', 'r'), ('like', 'a'), ('fit', 'n'), ('sound', 'n'), ('quality', 'n'), ('case', 'n'), ('cool', 'a'), ('magnets', 'n'), ('lock', 'v'), ('earphones', 'n'), ('place', 'v'), ('easy', 'a'), ('hold', 'n'), ('find', 'v'), ('bag', 'n'), ('also', 'r'), ('love', 'v'), ('pausestart', 'r'), ('touch', 'a'), ('surface', 'n'), ('headphones', 'n'), ('remove', 'v'), ('listen', 'r'), ('somethingsomeonethe', 'a'), ('reason', 'n'), ('rated', 'v'), ('earphones', 'n'), ('five', 'n'), ('stars', 'n'), ('occasional', 'a'), ('blip', 'n'), ('like', 'n'), ('sound', 'n'), ('working', 'v'), ('one', 'n'), ('earphone', 'n'), ('corrects', 'v'), ('quickly', 'r'), ('annoying', 'v')]","['lose', 'first', 'pair', 'replace', 'really', 'like', 'fit', 'sound', 'quality', 'case', 'cool', 'magnet', 'lock', 'earphone', 'place', 'easy', 'hold', 'find', 'bag', 'also', 'love', 'pausestart', 'touch', 'surface', 'headphone', 'remove', 'listen', 'somethingsomeonethe', 'reason', 'rat', 'earphone', 'five', 'star', 'occasional', 'blip', 'like', 'sound', 'work', 'one', 'earphone', 'correct', 'quickly', 'annoy']",4,Positive,2
1,One Annoying Issue,one annoying issue,"['one', 'annoying', 'issue']","[('one', 'n'), ('annoying', 'v'), ('issue', 'n')]","['one', 'annoy', 'issue']","You get decent sound quality and comfort / functionality etc for the price, but my one main issue is that the charging case doesn't keep it's charge very well, and when it runs out of charge the buds will automatically start pairing with your devices. This means that every now and again I'll play something on my phone and the sound isn't working for some reason... Until I figure out that they're paired to my TOZOs in the other room! Seems like this could have been avoided in the design, but ah well. Just something to be aware of.",get decent sound quality comfort functionality etc price one main issue charging case keep charge well runs charge buds automatically start pairing devices means every play something phone sound working reason figure paired tozos room seems like could avoided design ah well something aware,"['get', 'decent', 'sound', 'quality', 'comfort', 'functionality', 'etc', 'price', 'one', 'main', 'issue', 'charging', 'case', 'keep', 'charge', 'well', 'runs', 'charge', 'buds', 'automatically', 'start', 'pairing', 'devices', 'means', 'every', 'play', 'something', 'phone', 'sound', 'working', 'reason', 'figure', 'paired', 'tozos', 'room', 'seems', 'like', 'could', 'avoided', 'design', 'ah', 'well', 'something', 'aware']","[('get', 'v'), ('decent', 'a'), ('sound', 'n'), ('quality', 'n'), ('comfort', 'n'), ('functionality', 'n'), ('etc', 'n'), ('price', 'n'), ('one', 'n'), ('main', 'a'), ('issue', 'n'), ('charging', 'v'), ('case', 'n'), ('keep', 'v'), ('charge', 'n'), ('well', 'r'), ('runs', 'v'), ('charge', 'n'), ('buds', 'n'), ('automatically', 'r'), ('start', 'v'), ('pairing', 'v'), ('devices', 'n'), ('means', 'v'), ('every', 'n'), ('play', 'n'), ('something', 'n'), ('phone', 'n'), ('sound', 'n'), ('working', 'v'), ('reason', 'n'), ('figure', 'n'), ('paired', 'v'), ('tozos', 'n'), ('room', 'n'), ('seems', 'v'), ('like', 'n'), ('could', 'n'), ('avoided', 'v'), ('design', 'n'), ('ah', 'r'), ('well', 'r'), ('something', 'n'), ('aware', 'a')]","['get', 'decent', 'sound', 'quality', 'comfort', 'functionality', 'etc', 'price', 'one', 'main', 'issue', 'charge', 'case', 'keep', 'charge', 'well', 'run', 'charge', 'bud', 'automatically', 'start', 'pair', 'device', 'mean', 'every', 'play', 'something', 'phone', 'sound', 'work', 'reason', 'figure', 'pair', 'tozos', 'room', 'seem', 'like', 'could', 'avoid', 'design', 'ah', 'well', 'something', 'aware']",4,Positive,2
2,👍👍,,[],[],[],I have a pair of the T 6’s and a pair of the NC 9. The NC 9’s are by fair the better product and give excellent sound quality. The T6 are good for the money. They both have good battery life.,pair six s pair nc nine nc nine s fair better product give excellent sound quality t6 good money good battery life,"['pair', 'six', 's', 'pair', 'nc', 'nine', 'nc', 'nine', 's', 'fair', 'better', 'product', 'give', 'excellent', 'sound', 'quality', 't6', 'good', 'money', 'good', 'battery', 'life']","[('pair', 'n'), ('six', 'n'), ('s', 'a'), ('pair', 'n'), ('nc', 'a'), ('nine', 'n'), ('nc', 'a'), ('nine', 'n'), ('s', 'n'), ('fair', 'a'), ('better', 'a'), ('product', 'n'), ('give', 'v'), ('excellent', 'a'), ('sound', 'n'), ('quality', 'n'), ('t6', 'v'), ('good', 'a'), ('money', 'n'), ('good', 'a'), ('battery', 'n'), ('life', 'n')]","['pair', 'six', 's', 'pair', 'nc', 'nine', 'nc', 'nine', 's', 'fair', 'good', 'product', 'give', 'excellent', 'sound', 'quality', 't6', 'good', 'money', 'good', 'battery', 'life']",4,Positive,2
3,Amazing,amazing,['amazing'],"[('amazing', 'v')]",['amaze'],Bought for sisters Xmas gift and they are great,bought sisters xmas gift great,"['bought', 'sisters', 'xmas', 'gift', 'great']","[('bought', 'v'), ('sisters', 'n'), ('xmas', 'n'), ('gift', 'n'), ('great', 'a')]","['buy', 'sister', 'xmas', 'gift', 'great']",5,Positive,2
4,Really waterproof,really waterproof,"['really', 'waterproof']","[('really', 'r'), ('waterproof', 'a')]","['really', 'waterproof']","I went with them in the rain and it didn’t affect anything. Battery life is long, sound is great. I’m very happy.",went rain affect anything battery life long sound great happy,"['went', 'rain', 'affect', 'anything', 'battery', 'life', 'long', 'sound', 'great', 'happy']","[('went', 'v'), ('rain', 'n'), ('affect', 'n'), ('anything', 'n'), ('battery', 'a'), ('life', 'n'), ('long', 'r'), ('sound', 'a'), ('great', 'a'), ('happy', 'a')]","['go', 'rain', 'affect', 'anything', 'battery', 'life', 'long', 'sound', 'great', 'happy']",5,Positive,2
5,Confused,confused,['confused'],"[('confused', 'v')]",['confuse'],"Audio is good for the price, and it's weird (in a good way) that I can forget I'm wearing them when I'm back from the gym and get in the shower without taking them off cause they're waterproof, but their biggest flaw is how sensitive these are. I got curly hair and sometimes just a curl bouncing on them will active them to press pause, or when adjusting them the volume goes completely down or all the way up. Really really hypersensitive and I didn't even remove the protective plastic film yet. Don't want to imagine how they will be when I do.Also really confused on how to open the charger port on the case? I've tried to slide it open, push it open, pull it open... Nothing happens??? I read the manual but no specifics on this, so I wonder if I won't be able to charge them once they die, or if I'll have to give up and waste money on a bluetooth charger which would be annoying!",audio good price weird good way forget wearing back gym get shower without taking waterproof biggest flaw sensitive got curly hair sometimes curl bouncing active press pause adjusting volume goes completely way really really hypersensitive even remove protective plastic film yet want imagine doalso really confused open charger port case tried slide open push open pull open nothing happens read manual specifics wonder able charge die give waste money bluetooth charger would annoying,"['audio', 'good', 'price', 'weird', 'good', 'way', 'forget', 'wearing', 'back', 'gym', 'get', 'shower', 'without', 'taking', 'waterproof', 'biggest', 'flaw', 'sensitive', 'got', 'curly', 'hair', 'sometimes', 'curl', 'bouncing', 'active', 'press', 'pause', 'adjusting', 'volume', 'goes', 'completely', 'way', 'really', 'really', 'hypersensitive', 'even', 'remove', 'protective', 'plastic', 'film', 'yet', 'want', 'imagine', 'doalso', 'really', 'confused', 'open', 'charger', 'port', 'case', 'tried', 'slide', 'open', 'push', 'open', 'pull', 'open', 'nothing', 'happens', 'read', 'manual', 'specifics', 'wonder', 'able', 'charge', 'die', 'give', 'waste', 'money', 'bluetooth', 'charger', 'would', 'annoying']","[('audio', 'r'), ('good', 'a'), ('price', 'n'), ('weird', 'n'), ('good', 'a'), ('way', 'n'), ('forget', 'n'), ('wearing', 'v'), ('back', 'r'), ('gym', 'a'), ('get', 'n'), ('shower', 'n'), ('without', 'n'), ('taking', 'v'), ('waterproof', 'a'), ('biggest', 'a'), ('flaw', 'n'), ('sensitive', 'a'), ('got', 'v'), ('curly', 'r'), ('hair', 'v'), ('sometimes', 'r'), ('curl', 'a'), ('bouncing', 'v'), ('active', 'a'), ('press', 'n'), ('pause', 'n'), ('adjusting', 'a'), ('volume', 'n'), ('goes', 'v'), ('completely', 'r'), ('way', 'n'), ('really', 'r'), ('really', 'r'), ('hypersensitive', 'a'), ('even', 'r'), ('remove', 'v'), ('protective', 'a'), ('plastic', 'n'), ('film', 'n'), ('yet', 'r'), ('want', 'v'), ('imagine', 'n'), ('doalso', 'n'), ('really', 'r'), ('confused', 'a'), ('open', 'a'), ('charger', 'n'), ('port', 'n'), ('case', 'n'), ('tried', 'v'), ('slide', 'n'), ('open', 'a'), ('push', 'n'), ('open', 'a'), ('pull', 'n'), ('open', 'a'), ('nothing', 'n'), ('happens', 'v'), ('read', 'a'), ('manual', 'a'), ('specifics', 'n'), ('wonder', 'v'), ('able', 'a'), ('charge', 'n'), ('die', 'v'), ('give', 'a'), ('waste', 'n'), ('money', 'n'), ('bluetooth', 'n'), ('charger', 'n'), ('would', 'n'), ('annoying', 'v')]","['audio', 'good', 'price', 'weird', 'good', 'way', 'forget', 'wear', 'back', 'gym', 'get', 'shower', 'without', 'take', 'waterproof', 'big', 'flaw', 'sensitive', 'get', 'curly', 'hair', 'sometimes', 'curl', 'bounce', 'active', 'press', 'pause', 'adjusting', 'volume', 'go', 'completely', 'way', 'really', 'really', 'hypersensitive', 'even', 'remove', 'protective', 'plastic', 'film', 'yet', 'want', 'imagine', 'doalso', 'really', 'confused', 'open', 'charger', 'port', 'case', 'try', 'slide', 'open', 'push', 'open', 'pull', 'open', 'nothing', 'happen', 'read', 'manual', 'specific', 'wonder', 'able', 'charge', 'die', 'give', 'waste', 'money', 'bluetooth', 'charger', 'would', 'annoy']",3,Neutral,1
6,The best headphones!,best headphones,"['best', 'headphones']","[('best', 'a'), ('headphones', 'n')]","['best', 'headphone']",These headphones are the best value for money! I bought my first pair about 2 years ago and they were still running until last week (when I lost them) and they still worked like new! I once dropped a headphone in freshly brewed coffee- it worked PERFECTLY fine after that!Easy to connect to phoneEar pieces don’t hurt your ear!I just bought my second pair- happily!,headphones best value money bought first pair two years ago still running last week lost still worked like new dropped headphone freshly brewed coffee worked perfectly fine thateasy connect phoneear pieces hurt eari bought second pair happily,"['headphones', 'best', 'value', 'money', 'bought', 'first', 'pair', 'two', 'years', 'ago', 'still', 'running', 'last', 'week', 'lost', 'still', 'worked', 'like', 'new', 'dropped', 'headphone', 'freshly', 'brewed', 'coffee', 'worked', 'perfectly', 'fine', 'thateasy', 'connect', 'phoneear', 'pieces', 'hurt', 'eari', 'bought', 'second', 'pair', 'happily']","[('headphones', 'n'), ('best', 'a'), ('value', 'n'), ('money', 'n'), ('bought', 'v'), ('first', 'r'), ('pair', 'a'), ('two', 'n'), ('years', 'n'), ('ago', 'r'), ('still', 'r'), ('running', 'v'), ('last', 'a'), ('week', 'n'), ('lost', 'v'), ('still', 'r'), ('worked', 'v'), ('like', 'n'), ('new', 'a'), ('dropped', 'v'), ('headphone', 'n'), ('freshly', 'r'), ('brewed', 'v'), ('coffee', 'n'), ('worked', 'v'), ('perfectly', 'r'), ('fine', 'a'), ('thateasy', 'n'), ('connect', 'n'), ('phoneear', 'a'), ('pieces', 'n'), ('hurt', 'v'), ('eari', 'a'), ('bought', 'v'), ('second', 'a'), ('pair', 'n'), ('happily', 'r')]","['headphone', 'best', 'value', 'money', 'buy', 'first', 'pair', 'two', 'year', 'ago', 'still', 'run', 'last', 'week', 'lose', 'still', 'work', 'like', 'new', 'drop', 'headphone', 'freshly', 'brew', 'coffee', 'work', 'perfectly', 'fine', 'thateasy', 'connect', 'phoneear', 'piece', 'hurt', 'eari', 'buy', 'second', 'pair', 'happily']",5,Positive,2
7,Pretty Good,pretty good,"['pretty', 'good']","[('pretty', 'r'), ('good', 'a')]","['pretty', 'good']","The sound quality isn't the best and there are other earbuds that offer better quality for the same price range, but they sit well and get the job done. I also like the colour selection and they're simple to set up and use.",sound quality best earbuds offer better quality price range sit well get job done also like colour selection simple set use,"['sound', 'quality', 'best', 'earbuds', 'offer', 'better', 'quality', 'price', 'range', 'sit', 'well', 'get', 'job', 'done', 'also', 'like', 'colour', 'selection', 'simple', 'set', 'use']","[('sound', 'a'), ('quality', 'n'), ('best', 'a'), ('earbuds', 'n'), ('offer', 'n'), ('better', 'r'), ('quality', 'n'), ('price', 'n'), ('range', 'n'), ('sit', 'n'), ('well', 'r'), ('get', 'v'), ('job', 'n'), ('done', 'v'), ('also', 'r'), ('like', 'n'), ('colour', 'n'), ('selection', 'n'), ('simple', 'n'), ('set', 'v'), ('use', 'n')]","['sound', 'quality', 'best', 'earbuds', 'offer', 'well', 'quality', 'price', 'range', 'sit', 'well', 'get', 'job', 'do', 'also', 'like', 'colour', 'selection', 'simple', 'set', 'use']",4,Positive,2
8,Brilliant piece of kit!,brilliant piece kit,"['brilliant', 'piece', 'kit']","[('brilliant', 'a'), ('piece', 'n'), ('kit', 'n')]","['brilliant', 'piece', 'kit']","This is a brilliant piece of kit for the price. It is very comfortable to wear even for a long time. Being waterproof, it is very good to use for running and exercise. It has very good battery life. The sound quality is also very good. It is worth it for the price!",brilliant piece kit price comfortable wear even long time waterproof good use running exercise good battery life sound quality also good worth price,"['brilliant', 'piece', 'kit', 'price', 'comfortable', 'wear', 'even', 'long', 'time', 'waterproof', 'good', 'use', 'running', 'exercise', 'good', 'battery', 'life', 'sound', 'quality', 'also', 'good', 'worth', 'price']","[('brilliant', 'a'), ('piece', 'n'), ('kit', 'n'), ('price', 'n'), ('comfortable', 'a'), ('wear', 'a'), ('even', 'r'), ('long', 'a'), ('time', 'n'), ('waterproof', 'n'), ('good', 'a'), ('use', 'n'), ('running', 'v'), ('exercise', 'r'), ('good', 'a'), ('battery', 'n'), ('life', 'n'), ('sound', 'n'), ('quality', 'n'), ('also', 'r'), ('good', 'a'), ('worth', 'n'), ('price', 'n')]","['brilliant', 'piece', 'kit', 'price', 'comfortable', 'wear', 'even', 'long', 'time', 'waterproof', 'good', 'use', 'run', 'exercise', 'good', 'battery', 'life', 'sound', 'quality', 'also', 'good', 'worth', 'price']",5,Positive,2
9,OK.,ok,['ok'],"[('ok', 'n')]",['ok'],Fiddly getting them out of the charger.,fiddly getting charger,"['fiddly', 'getting', 'charger']","[('fiddly', 'r'), ('getting', 'v'), ('charger', 'n')]","['fiddly', 'get', 'charger']",5,Positive,2
