,Clean Title,Clean Content,Rating,Sentiment,Target
0,second time buying headphones overall value money,lost first pair replaced really like fit sound quality case cool magnets lock earphones place easy hold find bag also love pausestart touch surface headphones remove listen somethingsomeonethe reason rated earphones five stars occasional blip like sound working one earphone corrects quickly annoying,4,Positive,2
1,one annoying issue,get decent sound quality comfort functionality etc price one main issue charging case keep charge well runs charge buds automatically start pairing devices means every play something phone sound working reason figure paired tozos room seems like could avoided design ah well something aware,4,Positive,2
2,,pair six s pair nc nine nc nine s fair better product give excellent sound quality t6 good money good battery life,4,Positive,2
3,amazing,bought sisters xmas gift great,5,Positive,2
4,really waterproof,went rain affect anything battery life long sound great happy,5,Positive,2
5,confused,audio good price weird good way forget wearing back gym get shower without taking waterproof biggest flaw sensitive got curly hair sometimes curl bouncing active press pause adjusting volume goes completely way really really hypersensitive even remove protective plastic film yet want imagine doalso really confused open charger port case tried slide open push open pull open nothing happens read manual specifics wonder able charge die give waste money bluetooth charger would annoying,3,Neutral,1
6,best headphones,headphones best value money bought first pair two years ago still running last week lost still worked like new dropped headphone freshly brewed coffee worked perfectly fine thateasy connect phoneear pieces hurt eari bought second pair happily,5,Positive,2
7,pretty good,sound quality best earbuds offer better quality price range sit well get job done also like colour selection simple set use,4,Positive,2
8,brilliant piece kit,brilliant piece kit price comfortable wear even long time waterproof good use running exercise good battery life sound quality also good worth price,5,Positive,2
9,ok,fiddly getting charger,5,Positive,2
10,another great product tozo,couple pairs tozo headphones like rest really deliver great sound comfortable fit good battery life ideal price,5,Positive,2
11,tozo earbuds,great buds super sound also bonus wireless charging,5,Positive,2
12,wireless headset,headphones best amazon customer service great replacing,4,Positive,2
13,best earbuds ever,buds two half years never ever faltered recommend everyone asks definitely purchase one million and ten,5,Positive,2
14,buy two second one second set holding well,impressed earbuds compared price airpods one little touch pause unpause music comfortable wear easy clean damp cloth,5,Positive,2
15,good casesbad,cut point bought three beforethe first pair best thing since sliced bread black pairthen got 2one gift partner rose gold light bluethe microphone quality connection dip sometimes straight cut real bummer since black pair worked fantasticallyin short summary audio listening pretty good calls depending pair batch come fromgood luckoverall five ten due first perfect two either passe case blue pair complete trash,3,Neutral,1
16,great price,fairly small sleek case headphone hold charge good wireless charging nice touch slightly slow wireless charging unlike wireless charging phone however far likely leave desk day work etc wireless capeabilities make bit sense comes handful different sized tips finding fit okayi audiophile sound quality sounds pretty clear especially price point,4,Positive,2
17,sound quality quite amazing price hope 12months use,sound quality quite amazing price hope last least twelve months,4,Positive,2
18,excellent wireless earbuds great price great customer service tozo,wired earphones came samsung phone give ghost looked around wireless ones fed cable getting snagged weights jacket bike seemed fit bill reviews mostly positive considering many reviews thought would take plunge used headphones ninety minute mountain bike ride trail today great far dislodge though several options fit size ear canalthe packaging good instructions clear enough paired immediately took case selected tozo list bluetooth devices phone want use tablet need disconnect phone firstthe sound good clear much audiophile subjective want spend huge amount,5,Positive,2
19,great headphones,great headphones good price controls make sense easy use unlike another pair purchased previously good battery life charging case wireless charges charging pad sound great money complaints,5,Positive,2
20,good price somewhat frustrating,saying get pay regards accurate sign times five years ago paid half much wired earphones worse ones come phone comparison given get definitely worth pricehowever things aware ofyes price rather quite good mostly comfortable ear case small easily fitting pockets sound quality actually pretty decent would want rely lengthy listening periods good bus train shorthaul flightsthanks waterresistant rating also good want listen something shower steamy bath entirely comfortable shower option even several times want certainly told family appreciate lack music blasti,3,Neutral,1
21,great te price,great price sometimes make difficult caller hear saying,4,Positive,2
22,excellent bluetooth earbuds great features bargain price,"looking decent set wireless earbuds spending quite bit time online looking variety options also following work colleagues recommendation decided order set tozo t6soverall impressed earbuds especially given price two thousand, nine hundred and ninety-nine gbp time purchasethe build quality earbuds charging case good feel flimsy cheap instead premium look feel belies pricethe charging case compact ergonomic fits nicely small watch pocket pair jeans allows earbuds recharged go approximately three four times charging case needs topup four led lights indicate much power left also nice see case supports wireless charging convenience although also charged using supplied micro usb cable wireless charging pad",5,Positive,2
23,amazing quality great quality slightly loud,earbuds week amazed well performed usually wear working exercising sound quality cases great mention water resistant easy carry around battery life seems really good well plus charging case helps charge go rush get house morningmy criticism quite odd one admittedly volume control deliver stellar sound quality volume fairly adjustable lowest volume setting still pretty loud used earbuds headphones lowest audible volume faint usually level able hear conversation listening music still lowest volume seems way loud low volume also took figure touch controls earbuds since prefer tappin,4,Positive,2
24,simplicity,easy set easy use good quality bought another set gardening,4,Positive,2
25,working promised,really sure got faulty ones seems headphones lose charge despite using themi fully charged double checked put bag time whenever left house however quite busy schedule really time wear earbuds left couple weeks got use around month two original purchase working fine initial beginning period time til moment even connecting phoneat first thought simply working confused since working fine first bought plugged charge started charging showing case well earphones zero charge quite annoying charged question fully secured case eve,2,Negative,0
26,insane battery life,lost samsung buds looking cheap alternative replace bought year ago joke think charged forty-five times use everyday small downside get notification etc battery dying died given barely happened cannot really complain,5,Positive,2
27,work windows eleven,really like headphones got couple years ago bought pair partner work great phone iphone well samsung also laptop runs windows ten however work laptop runs windows eleven found plenty forums since people issues amount trouble shooting worked issue appears two years old neither tozo microsoft appear addressing problem connect touch controls appear work startstop spotify songs audio play headphones suggests issue audio driversin respects great product extremely frustrating warning incompatibility,3,Neutral,1
28,initial review good,received today initial review seem really good build quality seems good pop right case nicely case nice sleek small fits pocket sturdy build quality matte finish stops getting annoying fingerprints overthe buds come multiple sized tips much comfier branded ones tried fit snuggly feel though secured enough ear bought gym use keeping right position important shaking head movethey easy pair simple instructions package packaging good shipped outside charging case require charging initially foam mold securethe sound quality really good nice rich sound deeper bass previous earbuds mention brand one usually receives,4,Positive,2
29,nine month review,bought august two thousand and twenty-one growing increasingly frustrated traditional earphones far lasted longer traditional pair owed downsides occasionally fail reach one hundred charge especially make ninety become confused wear one work often repeating primary pairing randomly use even though switched secure box cancel external sound rather well adjusting volume manually either piece difficult never adjust volume one bar time instead single attempt either drops volume low high deafening constantly using phone adjust instead answering calls fine microphone issues report also tendency migrate ears forcing readjustnot sure maybe weird ears sound quality major fact,4,Positive,2
30,excellent quality earphones although perhaps greatest running,ever since release bluetooth earphones avid fan devices combined phone strap revolutionised fitness often found old wire got way tedious year ago purchased first wireless bluetooth earphones lasted year unfortunately battery became unsustainable although cheap pair twenty got market spain anyway loved always wore university basically cheap version apples air pods searching new pair decided time would fork little cash decided purchase tozosso far good everything promised description came nicely packaged provided four sizes earphone rubber reassuring small ears like fit snuggly sound quality perfect synced whatever image watching screen pleasure ca,4,Positive,2
31,solid set earbuds lower price,years overall great pair inear headphones battery life excellent sound quality particularly bass impressivedespite dropped fair times charging case charges well considerationthe goes buds regular use years sound quality remarkable little noise distortion sound quality said experience volume quality loss one bud could due fact dropped times said experience volume quality loss,4,Positive,2
32,fantastic value money,buying cambridge audio buds right bud worked returned ordered replacement worked fo z couple days refused charge ordered oppo buds onlly one earbud worked sent back bought tozo t6 earbuds fantastic buds charged sound quality design good especially costwish bought first,4,Positive,2
33,great affordable pair earbuds,ordered little gems spending bit time reviewing affordable set earphones initially looked expensive pair jbls really wanted walking dog locallyso verdict well word fantasticthe goodcase nice weight case clearly designed portable rubber well fitting charging port cover nice touch four indication lights case keep eye charge magnetic case ensures lid closes nicely allows buds sit nicely within case premium feel itbuds firstly spoiled choice comes spare ear fittings ranging small extra large would imagine people find comfortable fit default worked perfectly fine happens sound perfectly fine need bass excessive clearly enough without sounding artificial little sound leakage,5,Positive,2
34,great sounding earphones versatility apple airpods,let us face anyone looking buy pair ear wireless headphones opting apple airpods almost us would start looking many options market something able job even better job fraction costwe yes isthe tozo t6 headphones great option anyone looking first delve wireless headphone territoryfirstly form factor great annoying stick side ear unlike apple airpods confined actual ear wear scarf means dislodge true ear seal made even better many ear cup options fit snugly without tight uncomfortable case also mirrors apple style magnets hold place handy charge light case nicely clicking opening hinge gives joy opening one minor grip,5,Positive,2
35,great money potential battery issues,audiophile probably want pair decent budget earbuds cannot go wrong tozo t6 plenty bass top end clear though sometimes tiny bit scratchy high volume loud fit securely come six sets rubbers fit different size ears simple pair use yet sure battery life set glossed playlists test varying genres music one side found far seems charging issue gave initial full charge unboxing left till next day got three white lights charging case illuminated dropping quickly two gave another full charge seemed sort case paired seventy charge trying put back case four lights lit still lit hour lat,4,Positive,2
36,seriously premium ear buds without premium price tag highly recommend,would looking buying ear buds ear pods sony overear headphones cost like three hundred best headphones however sleep cannot lay back obviously possible sleep side headphones main reason wanting ear buds however like technology days trying select pair let alone right pair seem daunting rather like mine field hence taken long actually take plunge buy pairfirstly apple ipods galaxy pods wanted good sound quality volume level good base good noise cancellation without hefty price bearing mind yes wanted decent ones main pair looked several online amazon selected thesewhy go looked good quality good reviews decided happy,5,Positive,2
37,useless noise cancellation,ordered based reviews unfortunately useless voice calls voice notes plenty background noise unbearable callers especially trains buses quiet spaces okayheld ear reasonably well smallest ear buds slightly bulky seen ear buds alot worseoverall returning due noise cancellation issues going try another version brand,2,Negative,0
38,ears,ok product,3,Neutral,1
39,right earbud quieter left,battery good well lasting sound quality great noise cancellation ok still moderately audible full volume problem right earbud bit quieter left monoaudio spotify apps,4,Positive,2
40,good value earpods,good size look good sound good great value money,4,Positive,2
41,good,really pleased purchase thinking buying wireless earbuds years wait worth work great tried size regularly come fine sometimes felt uncomfortable thing ear thing always quite sensitive ear stuff changed smaller size provide feel great less bulky much comfortable sound quality quite good walking around use one like feeling like know going around battery lasts ridiculously long amount time spend twenty-three days without charging course time use time whole daythe downside think happens wireless buds phone recording voice note noise surroundings perceived loud sometimes vo,4,Positive,2
42,good value wireless earbuds ideal backup pair,used wireless earbuds generally fan bo e8 20s however shopping around new earbuds use backup reasons leather case bos feels premium exactly practical gym connectivity bo perfect move especially phone close bodybeing broadly satisfied tozo products love screen protectors samsung note nine decided give wireless earbuds chance came promptly box real premium feel earbuds nicely packed inside standard plastic protection would expect premium product algotether presentation feels appley expecting really good thingtaking wrapper case similar size shape design airpod case obvious inspiration little disappointed surprised see mic,5,Positive,2
43,better apple airpods,amazing soundsolid buildlook greatbattery seems last foreverbetter airpods fraction price,5,Positive,2
