,Id,Vader Neg,Vader Neu,Vader Pos,Vader Compound,Roberta Neg,Roberta Neu,Roberta Pos,Clean Title,Clean Content,Rating,Sentiment,Target,Vader Label,Roberta Label
0,0,0.087,0.606,0.308,0.9147,0.06986035406589508,0.2811013460159302,0.6490382552146912,second time buying headphones overall value money,lost first pair replaced really like fit sound quality case cool magnets lock earphones place easy hold find bag also love pausestart touch surface headphones remove listen somethingsomeonethe reason rated earphones five stars occasional blip like sound working one earphone corrects quickly annoying,4,Positive,2,Positive,Positive
1,1,0.046,0.731,0.223,0.802,0.11230186372995377,0.5993574261665344,0.2883407175540924,one annoying issue,get decent sound quality comfort functionality etc price one main issue charging case keep charge well runs charge buds automatically start pairing devices means every play something phone sound working reason figure paired tozos room seems like could avoided design ah well something aware,4,Positive,2,Positive,Negative
2,2,0.0,0.505,0.495,0.9287,0.0046301246620714664,0.07596834748983383,0.9194015860557556,,pair six s pair nc nine nc nine s fair better product give excellent sound quality t6 good money good battery life,4,Positive,2,Positive,Positive
3,3,0.0,0.3,0.7,0.7906,0.0018294239416718483,0.032396767288446426,0.9657738208770752,amazing,bought sisters xmas gift great,5,Positive,2,Positive,Positive
4,4,0.0,0.506,0.494,0.8316,0.008238492533564568,0.07748232781887054,0.9142791628837585,really waterproof,went rain affect anything battery life long sound great happy,5,Positive,2,Positive,Positive
5,5,0.176,0.713,0.111,-0.6997,0.7083540558815002,0.25389620661735535,0.037749674171209335,confused,audio good price weird good way forget wearing back gym get shower without taking waterproof biggest flaw sensitive got curly hair sometimes curl bouncing active press pause adjusting volume goes completely way really really hypersensitive even remove protective plastic film yet want imagine doalso really confused open charger port case tried slide open push open pull open nothing happens read manual specifics wonder able charge die give waste money bluetooth charger would annoying,3,Neutral,1,Negative,Negative
6,6,0.107,0.543,0.35,0.9186,0.01753288507461548,0.11408279836177826,0.8683843016624451,best headphones,headphones best value money bought first pair two years ago still running last week lost still worked like new dropped headphone freshly brewed coffee worked perfectly fine thateasy connect phoneear pieces hurt eari bought second pair happily,5,Positive,2,Positive,Positive
7,7,0.0,0.592,0.408,0.8934,0.005685050040483475,0.07960748672485352,0.9147074222564697,pretty good,sound quality best earbuds offer better quality price range sit well get job done also like colour selection simple set use,4,Positive,2,Positive,Positive
8,8,0.0,0.49,0.51,0.9493,0.004422109108418226,0.07030529528856277,0.9252725839614868,brilliant piece kit,brilliant piece kit price comfortable wear even long time waterproof good use running exercise good battery life sound quality also good worth price,5,Positive,2,Positive,Positive
9,9,0.0,1.0,0.0,0.0,0.2516048848628998,0.6549493074417114,0.09344582259654999,ok,fiddly getting charger,5,Positive,2,Neutral,Negative
10,10,0.0,0.367,0.633,0.9582,0.0037695716600865126,0.035654906183481216,0.960575520992279,another great product tozo,couple pairs tozo headphones like rest really deliver great sound comfortable fit good battery life ideal price,5,Positive,2,Positive,Positive
11,11,0.0,0.303,0.697,0.91,0.001710113137960434,0.020979149267077446,0.9773107171058655,tozo earbuds,great buds super sound also bonus wireless charging,5,Positive,2,Positive,Positive
12,12,0.0,0.286,0.714,0.875,0.006485938094556332,0.04789299890398979,0.9456210136413574,wireless headset,headphones best amazon customer service great replacing,4,Positive,2,Positive,Positive
13,13,0.112,0.744,0.144,0.1506,0.010342689231038094,0.26971039175987244,0.7199469208717346,best earbuds ever,buds two half years never ever faltered recommend everyone asks definitely purchase one million and ten,5,Positive,2,Positive,Positive
14,14,0.0,0.52,0.48,0.9001,0.18649862706661224,0.49613988399505615,0.31736141443252563,buy two second one second set holding well,impressed earbuds compared price airpods one little touch pause unpause music comfortable wear easy clean damp cloth,5,Positive,2,Positive,Neutral
15,15,0.087,0.674,0.239,0.9186,0.09686287492513657,0.2594464123249054,0.6436907052993774,good casesbad,cut point bought three beforethe first pair best thing since sliced bread black pairthen got 2one gift partner rose gold light bluethe microphone quality connection dip sometimes straight cut real bummer since black pair worked fantasticallyin short summary audio listening pretty good calls depending pair batch come fromgood luckoverall five ten due first perfect two either passe case blue pair complete trash,3,Neutral,1,Positive,Positive
16,16,0.02,0.743,0.236,0.9153,0.012451959773898125,0.14250363409519196,0.8450444340705872,great price,fairly small sleek case headphone hold charge good wireless charging nice touch slightly slow wireless charging unlike wireless charging phone however far likely leave desk day work etc wireless capeabilities make bit sense comes handful different sized tips finding fit okayi audiophile sound quality sounds pretty clear especially price point,4,Positive,2,Positive,Positive
17,17,0.0,0.524,0.476,0.8051,0.008353586308658123,0.07878127694129944,0.912865161895752,sound quality quite amazing price hope 12months use,sound quality quite amazing price hope last least twelve months,4,Positive,2,Positive,Positive
18,18,0.023,0.694,0.283,0.9729,0.011160498484969139,0.1281471848487854,0.8606923222541809,excellent wireless earbuds great price great customer service tozo,wired earphones came samsung phone give ghost looked around wireless ones fed cable getting snagged weights jacket bike seemed fit bill reviews mostly positive considering many reviews thought would take plunge used headphones ninety minute mountain bike ride trail today great far dislodge though several options fit size ear canalthe packaging good instructions clear enough paired immediately took case selected tozo list bluetooth devices phone want use tablet need disconnect phone firstthe sound good clear much audiophile subjective want spend huge amount,5,Positive,2,Positive,Positive
19,19,0.115,0.48,0.405,0.9201,0.008048774674534798,0.04977776110172272,0.9421735405921936,great headphones,great headphones good price controls make sense easy use unlike another pair purchased previously good battery life charging case wireless charges charging pad sound great money complaints,5,Positive,2,Positive,Positive
20,20,0.064,0.6,0.336,0.9779,0.062181029468774796,0.2924078404903412,0.6454111337661743,good price somewhat frustrating,saying get pay regards accurate sign times five years ago paid half much wired earphones worse ones come phone comparison given get definitely worth pricehowever things aware ofyes price rather quite good mostly comfortable ear case small easily fitting pockets sound quality actually pretty decent would want rely lengthy listening periods good bus train shorthaul flightsthanks waterresistant rating also good want listen something shower steamy bath entirely comfortable shower option even several times want certainly told family appreciate lack music blasti,3,Neutral,1,Positive,Positive
21,21,0.198,0.476,0.325,0.3818,0.3720345199108124,0.5609647631645203,0.06700072437524796,great te price,great price sometimes make difficult caller hear saying,4,Positive,2,Positive,Negative
22,22,0.016,0.856,0.128,0.9081,0.005311508662998676,0.09420444816350937,0.9004840850830078,excellent bluetooth earbuds great features bargain price,"looking decent set wireless earbuds spending quite bit time online looking variety options also following work colleagues recommendation decided order set tozo t6soverall impressed earbuds especially given price two thousand, nine hundred and ninety-nine gbp time purchasethe build quality earbuds charging case good feel flimsy cheap instead premium look feel belies pricethe charging case compact ergonomic fits nicely small watch pocket pair jeans allows earbuds recharged go approximately three four times charging case needs topup four led lights indicate much power left also nice see case supports wireless charging convenience although also charged using supplied micro usb cable wireless charging pad",5,Positive,2,Positive,Positive
